"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"+1 Rod of the Pact Keeper","DMG'24","301","uncommon","rod","requires attunement by a warlock","","","","2 lb.","","While holding this rod, you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your Warlock spells.In addition, you can regain one spell slot as a Magic action while holding the rod. You can't use this property again until you finish a Long Rest."
"+1 Shield (*)","DMG'24","303","uncommon","generic variant","","","","","","","* This generic variant has the same name and source as the item +1 Shield.While holding this Shield, you have a +1 bonus to Armor Class, in addition to the Shield's normal bonus to AC. Base items. This item variant can be applied to the following base items:Shield (+1 Shield)"
"+1 Wand of the War Mage","DMG'24","322","uncommon","wand","requires attunement by a spellcaster","","","","1 lb.","","While holding this wand, you gain a +1 bonus to spell attack rolls. In addition, you ignore Half Cover when making a spell attack roll."
"+1 Weapon","DMG'24","324","uncommon","generic variant","","","","","","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Base items. This item variant can be applied to the following base items:Antimatter Rifle (+1 Antimatter Rifle)Automatic Rifle (+1 Automatic Rifle)Battleaxe (+1 Battleaxe)Blowgun (+1 Blowgun)Club (+1 Club)Dagger (+1 Dagger)Dart (+1 Dart)Double-Bladed Scimitar (+1 Double-Bladed Scimitar)Flail (+1 Flail)Glaive (+1 Glaive)Greataxe (+1 Greataxe)Greatclub (+1 Greatclub)Greatsword (+1 Greatsword)Halberd (+1 Halberd)Hand Crossbow (+1 Hand Crossbow)Handaxe (+1 Handaxe)Heavy Crossbow (+1 Heavy Crossbow)Hooked Shortspear (+1 Hooked Shortspear)Hoopak (+1 Hoopak)Hunting Rifle (+1 Hunting Rifle)Javelin (+1 Javelin)Lance (+1 Lance)Laser Pistol (+1 Laser Pistol)Laser Rifle (+1 Laser Rifle)Light Crossbow (+1 Light Crossbow)Light Hammer (+1 Light Hammer)Light Repeating Crossbow (+1 Light Repeating Crossbow)Longbow (+1 Longbow)Longsword (+1 Longsword)Mace (+1 Mace)Maul (+1 Maul)Morningstar (+1 Morningstar)Musket (+1 Musket)Pike (+1 Pike)Pistol (+1 Pistol)Quarterstaff (+1 Quarterstaff)Rapier (+1 Rapier)Revolver (+1 Revolver)Scimitar (+1 Scimitar)Semiautomatic Pistol (+1 Semiautomatic Pistol)Shortbow (+1 Shortbow)Shortsword (+1 Shortsword)Shotgun (+1 Shotgun)Sickle (+1 Sickle)Sling (+1 Sling)Spear (+1 Spear)Trident (+1 Trident)War Pick (+1 War Pick)Warhammer (+1 Warhammer)Whip (+1 Whip)Yklwa (+1 Yklwa)"
"+1 Wraps of Unarmed Power","DMG'24","325","uncommon","wondrous item","","","","","","","While wearing these wraps, you have a +1 bonus to attack rolls and damage rolls made with your Unarmed Strikes. Those strikes deal your choice of Force damage or their normal damage type."
"+2 All-Purpose Tool","TCE","119","rare","wondrous item","requires attunement by an artificer","","","","","","This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it.While holding this tool, you gain a +2 bonus to the spell attack rolls and the saving throw DCs of your artificer spells.As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn."
"+2 Ammunition","DMG'24","228","rare","ammunition, generic variant","","","","","","","You have a +2 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.This ammunition is typically found or sold in quantities of ten or twenty pieces. Ten pieces of this ammunition are equivalent in value to a potion of the same rarity (2,000 GP). Base items. This item variant can be applied to the following base items:Arrow (+2 Arrow)Bolt (+2 Bolt)Energy Cell (+2 Energy Cell)Firearm Bullet (+2 Firearm Bullet)Needle (+2 Needle)Sling Bullet (+2 Sling Bullet)"
"+2 Amulet of the Devout","TCE","119","rare","wondrous item","requires attunement by a cleric or paladin","","","","1 lb.","","This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +2 bonus to spell attack rolls and the saving throw DCs of your spells.While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn."
"+2 Arcane Grimoire","TCE","120","rare","wondrous item","requires attunement by a wizard","","","","3 lb.","","While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your wizard spells.You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1."
"+2 Armor","DMG'24","230","very rare","generic variant","","","","","","","You have a +2 bonus to AC while wearing this armor. Base items. This item variant can be applied to the following base items:Breastplate (+2 Breastplate)Chain Mail (+2 Chain Mail)Chain Shirt (+2 Chain Shirt)Half Plate Armor (+2 Half Plate Armor)Hide Armor (+2 Hide Armor)Leather Armor (+2 Leather Armor)Padded Armor (+2 Padded Armor)Plate Armor (+2 Plate Armor)Ring Mail (+2 Ring Mail)Scale Mail (+2 Scale Mail)Splint Armor (+2 Splint Armor)Studded Leather Armor (+2 Studded Leather Armor)"
"+2 Bloodwell Vial","TCE","122","rare","wondrous item","requires attunement by a sorcerer","","","","","","To attune to this vial, you must place a few drops of your blood into it. The vial can't be opened while your attunement to it lasts. If your attunement to the vial ends, the contained blood turns to ash. You can use the vial as a spellcasting focus for your spells while wearing or holding it, and you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your sorcerer spells.In addition, when you roll any Hit Dice to recover hit points while you are carrying the vial, you can regain 5 sorcery points. This property of the vial can't be used again until the next dawn."
"+2 Dragonhide Belt","FTD","23","rare","wondrous item","requires attunement by a monk","","","","","","This finely detailed belt is made of dragonhide. While wearing it, you gain a +2 bonus to the saving throw DCs of your ki features. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can't use this action again until the next dawn."
"+2 Fate Dealer's Deck","BMT","61","very rare","wondrous item","requires attunement by a cleric or paladin","","","","","","The backs of these cards are inscribed with glyphs representing the Inner Planes, the Outer Planes, or the holy symbols of various deities. While holding this deck, you can use it as a spellcasting focus, and you gain a +2 bonus to spell attack rolls and to your spell save DC.In addition, while you're holding the deck, you can draw a card as an action to expend and roll one of your Hit Dice and add the deck's bonus to the number rolled. One creature you can see within 30 feet of you either takes radiant damage or regains hit points (your choice) equal to the total."
"+2 Moon Sickle","TCE","133","rare","weapon (Sickle), simple weapon, melee weapon","requires attunement by a druid or ranger","1d4 Slashing","light","","2 lb.","","This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +2 bonus to attack and damage rolls made with it, and you gain a +2 bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells.When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"+2 Rhythm-Maker's Drum","TCE","134","rare","wondrous item, instrument","requires attunement by a bard","","","","3 lb.","","While holding this drum, you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your bard spells.As an action, you can play the drum to regain one use of your Bardic Inspiration feature. This property of the drum can't be used again until the next dawn.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"+2 Rod of the Pact Keeper","DMG'24","301","rare","rod","requires attunement by a warlock","","","","2 lb.","","While holding this rod, you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your Warlock spells.In addition, you can regain one spell slot as a Magic action while holding the rod. You can't use this property again until you finish a Long Rest."
"+2 Shield (*)","DMG'24","303","rare","generic variant","","","","","","","* This generic variant has the same name and source as the item +2 Shield.While holding this Shield, you have a +2 bonus to Armor Class, in addition to the Shield's normal bonus to AC. Base items. This item variant can be applied to the following base items:Shield (+2 Shield)"
"+2 Wand of the War Mage","DMG'24","322","rare","wand","requires attunement by a spellcaster","","","","1 lb.","","While holding this wand, you gain a +2 bonus to spell attack rolls. In addition, you ignore Half Cover when making a spell attack roll."
"+2 Weapon","DMG'24","324","rare","generic variant","","","","","","","You have a +2 bonus to attack and damage rolls made with this magic weapon. Base items. This item variant can be applied to the following base items:Antimatter Rifle (+2 Antimatter Rifle)Automatic Rifle (+2 Automatic Rifle)Battleaxe (+2 Battleaxe)Blowgun (+2 Blowgun)Club (+2 Club)Dagger (+2 Dagger)Dart (+2 Dart)Double-Bladed Scimitar (+2 Double-Bladed Scimitar)Flail (+2 Flail)Glaive (+2 Glaive)Greataxe (+2 Greataxe)Greatclub (+2 Greatclub)Greatsword (+2 Greatsword)Halberd (+2 Halberd)Hand Crossbow (+2 Hand Crossbow)Handaxe (+2 Handaxe)Heavy Crossbow (+2 Heavy Crossbow)Hooked Shortspear (+2 Hooked Shortspear)Hoopak (+2 Hoopak)Hunting Rifle (+2 Hunting Rifle)Javelin (+2 Javelin)Lance (+2 Lance)Laser Pistol (+2 Laser Pistol)Laser Rifle (+2 Laser Rifle)Light Crossbow (+2 Light Crossbow)Light Hammer (+2 Light Hammer)Light Repeating Crossbow (+2 Light Repeating Crossbow)Longbow (+2 Longbow)Longsword (+2 Longsword)Mace (+2 Mace)Maul (+2 Maul)Morningstar (+2 Morningstar)Musket (+2 Musket)Pike (+2 Pike)Pistol (+2 Pistol)Quarterstaff (+2 Quarterstaff)Rapier (+2 Rapier)Revolver (+2 Revolver)Scimitar (+2 Scimitar)Semiautomatic Pistol (+2 Semiautomatic Pistol)Shortbow (+2 Shortbow)Shortsword (+2 Shortsword)Shotgun (+2 Shotgun)Sickle (+2 Sickle)Sling (+2 Sling)Spear (+2 Spear)Trident (+2 Trident)War Pick (+2 War Pick)Warhammer (+2 Warhammer)Whip (+2 Whip)Yklwa (+2 Yklwa)"
"+2 Wraps of Unarmed Power","DMG'24","325","rare","wondrous item","","","","","","","While wearing these wraps, you have a +2 bonus to attack rolls and damage rolls made with your Unarmed Strikes. Those strikes deal your choice of Force damage or their normal damage type."
"+3 All-Purpose Tool","TCE","119","very rare","wondrous item","requires attunement by an artificer","","","","","","This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it.While holding this tool, you gain a +3 bonus to the spell attack rolls and the saving throw DCs of your artificer spells.As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn."
"+3 Ammunition","DMG'24","228","very rare","ammunition, generic variant","","","","","","","You have a +3 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.This ammunition is typically found or sold in quantities of ten or twenty pieces. Ten pieces of this ammunition are equivalent in value to a potion of the same rarity (20,000 GP). Base items. This item variant can be applied to the following base items:Arrow (+3 Arrow)Bolt (+3 Bolt)Energy Cell (+3 Energy Cell)Firearm Bullet (+3 Firearm Bullet)Needle (+3 Needle)Sling Bullet (+3 Sling Bullet)"
"+3 Amulet of the Devout","TCE","119","very rare","wondrous item","requires attunement by a cleric or paladin","","","","1 lb.","","This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +3 bonus to spell attack rolls and the saving throw DCs of your spells.While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn."
"+3 Arcane Grimoire","TCE","120","very rare","wondrous item","requires attunement by a wizard","","","","3 lb.","","While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your wizard spells.You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1."
"+3 Armor","DMG'24","230","legendary","generic variant","","","","","","","You have a +3 bonus to AC while wearing this armor. Base items. This item variant can be applied to the following base items:Breastplate (+3 Breastplate)Chain Mail (+3 Chain Mail)Chain Shirt (+3 Chain Shirt)Half Plate Armor (+3 Half Plate Armor)Hide Armor (+3 Hide Armor)Leather Armor (+3 Leather Armor)Padded Armor (+3 Padded Armor)Plate Armor (+3 Plate Armor)Ring Mail (+3 Ring Mail)Scale Mail (+3 Scale Mail)Splint Armor (+3 Splint Armor)Studded Leather Armor (+3 Studded Leather Armor)"
"+3 Bloodwell Vial","TCE","122","very rare","wondrous item","requires attunement by a sorcerer","","","","","","To attune to this vial, you must place a few drops of your blood into it. The vial can't be opened while your attunement to it lasts. If your attunement to the vial ends, the contained blood turns to ash. You can use the vial as a spellcasting focus for your spells while wearing or holding it, and you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your sorcerer spells.In addition, when you roll any Hit Dice to recover hit points while you are carrying the vial, you can regain 5 sorcery points. This property of the vial can't be used again until the next dawn."
"+3 Dragonhide Belt","FTD","23","very rare","wondrous item","requires attunement by a monk","","","","","","This finely detailed belt is made of dragonhide. While wearing it, you gain a +3 bonus to the saving throw DCs of your ki features. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can't use this action again until the next dawn."
"+3 Fate Dealer's Deck","BMT","61","legendary","wondrous item","requires attunement by a cleric or paladin","","","","","","The backs of these cards are inscribed with glyphs representing the Inner Planes, the Outer Planes, or the holy symbols of various deities. While holding this deck, you can use it as a spellcasting focus, and you gain a +3 bonus to spell attack rolls and to your spell save DC.In addition, while you're holding the deck, you can draw a card as an action to expend and roll one of your Hit Dice and add the deck's bonus to the number rolled. One creature you can see within 30 feet of you either takes radiant damage or regains hit points (your choice) equal to the total."
"+3 Moon Sickle","TCE","133","very rare","weapon (Sickle), simple weapon, melee weapon","requires attunement by a druid or ranger","1d4 Slashing","light","","2 lb.","","This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +3 bonus to attack and damage rolls made with it, and you gain a +3 bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells.When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"+3 Rhythm-Maker's Drum","TCE","134","very rare","wondrous item, instrument","requires attunement by a bard","","","","3 lb.","","While holding this drum, you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your bard spells.As an action, you can play the drum to regain one use of your Bardic Inspiration feature. This property of the drum can't be used again until the next dawn.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"+3 Rod of the Pact Keeper","DMG'24","301","very rare","rod","requires attunement by a warlock","","","","2 lb.","","While holding this rod, you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your Warlock spells.In addition, you can regain one spell slot as a Magic action while holding the rod. You can't use this property again until you finish a Long Rest."
"+3 Shield (*)","DMG'24","303","very rare","generic variant","","","","","","","* This generic variant has the same name and source as the item +3 Shield.While holding this Shield, you have a +3 bonus to Armor Class, in addition to the Shield's normal bonus to AC. Base items. This item variant can be applied to the following base items:Shield (+3 Shield)"
"+3 Wand of the War Mage","DMG'24","322","very rare","wand","requires attunement by a spellcaster","","","","1 lb.","","While holding this wand, you gain a +3 bonus to spell attack rolls. In addition, you ignore Half Cover when making a spell attack roll."
"+3 Weapon","DMG'24","324","very rare","generic variant","","","","","","","You have a +3 bonus to attack and damage rolls made with this magic weapon. Base items. This item variant can be applied to the following base items:Antimatter Rifle (+3 Antimatter Rifle)Automatic Rifle (+3 Automatic Rifle)Battleaxe (+3 Battleaxe)Blowgun (+3 Blowgun)Club (+3 Club)Dagger (+3 Dagger)Dart (+3 Dart)Double-Bladed Scimitar (+3 Double-Bladed Scimitar)Flail (+3 Flail)Glaive (+3 Glaive)Greataxe (+3 Greataxe)Greatclub (+3 Greatclub)Greatsword (+3 Greatsword)Halberd (+3 Halberd)Hand Crossbow (+3 Hand Crossbow)Handaxe (+3 Handaxe)Heavy Crossbow (+3 Heavy Crossbow)Hooked Shortspear (+3 Hooked Shortspear)Hoopak (+3 Hoopak)Hunting Rifle (+3 Hunting Rifle)Javelin (+3 Javelin)Lance (+3 Lance)Laser Pistol (+3 Laser Pistol)Laser Rifle (+3 Laser Rifle)Light Crossbow (+3 Light Crossbow)Light Hammer (+3 Light Hammer)Light Repeating Crossbow (+3 Light Repeating Crossbow)Longbow (+3 Longbow)Longsword (+3 Longsword)Mace (+3 Mace)Maul (+3 Maul)Morningstar (+3 Morningstar)Musket (+3 Musket)Pike (+3 Pike)Pistol (+3 Pistol)Quarterstaff (+3 Quarterstaff)Rapier (+3 Rapier)Revolver (+3 Revolver)Scimitar (+3 Scimitar)Semiautomatic Pistol (+3 Semiautomatic Pistol)Shortbow (+3 Shortbow)Shortsword (+3 Shortsword)Shotgun (+3 Shotgun)Sickle (+3 Sickle)Sling (+3 Sling)Spear (+3 Spear)Trident (+3 Trident)War Pick (+3 War Pick)Warhammer (+3 Warhammer)Whip (+3 Whip)Yklwa (+3 Yklwa)"
"+3 Wraps of Unarmed Power","DMG'24","325","very rare","wondrous item","","","","","","","While wearing these wraps, you have a +3 bonus to attack rolls and damage rolls made with your Unarmed Strikes. Those strikes deal your choice of Force damage or their normal damage type."
"Abracadabrus","IDRotF","314","very rare","wondrous item","","","","","25 lb.","","An abracadabrus is an ornate, gemstone-studded wooden chest that weighs 25 pounds while empty. Its interior compartment is a cube measuring 1½ feet on a side.The chest has 20 charges. A creature can use an action to touch the closed lid of the chest and expend 1 of the chest's charges while naming one or more nonmagical objects (including raw materials, foodstuffs, and liquids) worth a total of 1 gp or less. The named objects magically appear in the chest, provided they can all fit inside it and the chest doesn't contain anything else. For example, the chest can conjure a plate of strawberries, a bowl of hot soup, a flagon of water, a stuffed animal, or a bag of twenty caltrops. Food and drink conjured by the chest are delicious, and they spoil if not consumed after 24 hours. Gems and precious metals created by the chest disappear after 1 minute.The chest regains 1d20 expended charges daily at dawn. If the item's last charge is expended, roll a d20. On a 1, the chest loses its magic (becoming an ordinary chest), and its gemstones turn to dust."
"Absorbing Tattoo","TCE","119","very rare","wondrous item (tattoo)","requires attunement","","","","","","Produced by a special needle, this magic tattoo features designs that emphasize one color. Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Damage Resistance. While the tattoo is on your skin, you have resistance to a type of damage associated with that color, as shown on the table below. The DM chooses the color or determines it randomly.Absorbing Tattood10ColorTattoo1GreenAcid Absorbing Tattoo2BlueCold Absorbing Tattoo3RedFire Absorbing Tattoo4WhiteForce Absorbing Tattoo5YellowLightning Absorbing Tattoo6BlackNecrotic Absorbing Tattoo7VioletPoison Absorbing Tattoo8SilverPsychic Absorbing Tattoo9GoldRadiant Absorbing Tattoo10OrangeThunder Absorbing Tattoo Damage Absorption. When you take damage of the chosen type, you can use your reaction to gain immunity against that instance of the damage, and you regain a number of hit points equal to half the damage you would have taken. Once this reaction is used, it can't be used again until the next dawn.Multiple variations of this item exist, as listed below:Acid Absorbing TattooCold Absorbing TattooFire Absorbing TattooForce Absorbing TattooLightning Absorbing TattooNecrotic Absorbing TattooPoison Absorbing TattooPsychic Absorbing TattooRadiant Absorbing TattooThunder Absorbing Tattoo"
"Acid","PHB'24","222","none","adventuring gear","","","","","1 lb.","25 gp","When you take the Attack action, you can replace one of your attacks with throwing a vial of Acid. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 2d6 Acid damage."
"Acid Absorbing Tattoo","TCE","119","very rare","wondrous item (tattoo)","requires attunement","","","","","","Produced by a special needle, this magic tattoo features designs that emphasize one color (green). Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Damage Resistance. While the tattoo is on your skin, you have resistance to acid damage. Damage Absorption. When you take acid damage, you can use your reaction to gain immunity against that instance of the damage, and you regain a number of hit points equal to half the damage you would have taken. Once this reaction is used, it can't be used again until the next dawn."
"Adamantine Ammunition","XGE","78","unknown","ammunition, generic variant","","","","","","","Ammunition made of or coated with adamantine is unusually effective when used to break objects. Whenever a piece of adamantine ammunition hits an object, the hit is a critical hit.The adamantine version of ten pieces of ammunition costs 500 gp more than the normal version, whether the ammunition is made of the metal or coated with it. Base items. This item variant can be applied to the following base items:Arrow (Adamantine Arrow)Bolt (Adamantine Bolt)Firearm Bullet (Adamantine Firearm Bullet)Needle (Adamantine Needle)Sling Bullet (Adamantine Sling Bullet)"
"Adamantine Armor","DMG'24","227","uncommon","generic variant","","","","","","","This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any Critical Hit against you becomes a normal hit. Base items. This item variant can be applied to the following base items:Breastplate (Adamantine Breastplate)Chain Mail (Adamantine Chain Mail)Chain Shirt (Adamantine Chain Shirt)Half Plate Armor (Adamantine Half Plate Armor)Plate Armor (Adamantine Plate Armor)Ring Mail (Adamantine Ring Mail)Scale Mail (Adamantine Scale Mail)Splint Armor (Adamantine Splint Armor)"
